赵明宇,,Research Fellow,耶鲁大学,海洋自生碳酸盐与古环境指标,线上会议,2020年11月10日（周二）20:00-22:00,
陈新明,46,博士后,美国佛罗里达州立大学,碳酸盐238U/235U重建古海洋氧化还原环境变化,线上会议,2020年11月10日（周二）20:00-22:00,
宗秋刚,,教授,北京大学空间科学与探测中心,北大空间物理所和国际月球科研站介绍,工学院1号楼210会议室（午餐会形式）,12月4日（周五）中午12:00,北大
